,model,R2
RPI,AA,0.46135837266528834
W875RX1,AAd,0.29182078954175894
DPCERA3M086SBEA,AA,0.6645454052638717
CMRMTSPLx,AAd,0.31364269152350643
RETAILx,AA,0.5422974976266667
INDPRO,AAd,-0.23493039490380108
IPFPNSS,AAd,0.3389503681378644
IPFINAL,AAd,0.49628790285071833
IPCONGD,AA,0.04289832784726988
IPDCONGD,AA,-0.019272865987523202
IPNCONGD,AA,0.11056201147881961
IPBUSEQ,AAd,0.24470923280378276
IPMAT,AAd,-0.4762715586469026
IPDMAT,AAd,0.22074936878507712
IPNMAT,AAd,-0.4429212849241493
IPMANSICS,AAd,0.055865624009989845
IPB51222S,AA,0.10929760959517176
IPFUELS,AA,0.06818051900974731
CUMFNS,AAd,-0.6900534692454048
HWI,AAd,-0.06517498493731688
HWIURATIO,AAd,-0.13161820673841107
CLF16OV,AA,0.5727585352762685
CE16OV,AAd,0.5552588013946729
UNRATE,AAd,-0.06951630187317104
UEMPMEAN,AAd,-0.01746938965356093
UEMPLT5,A,0.35844314533380983
UEMP5TO14,AAd,-0.005461801027532687
UEMP15OV,AAd,-0.14010872266901697
UEMP15T26,AAd,-0.08742034160312318
UEMP27OV,AAd,-0.34145362968860327
CLAIMSx,A,5.512220002168444e-05
PAYEMS,AA,0.8108433961142418
USGOOD,AAd,0.34398544412037535
CES1021000001,A,-6.437384683133374e-05
USCONS,AAd,0.5277860033473185
MANEMP,AAd,0.47915404404073325
DMANEMP,AAd,0.371130578447204
NDMANEMP,AAd,0.4632840743263338
SRVPRD,AA,0.8731172379253851
USTPU,AAd,0.660599660311685
USWTRADE,AAd,0.8137074212394052
USTRADE,AAd,0.189423731670481
USFIRE,AAd,0.4943065538588791
USGOVT,AA,0.5398203586280494
CES0600000007,A,0.18640029330662788
AWOTMAN,AAd,-0.08931087673894922
AWHMAN,A,-0.07855565295844658
HOUST,AAd,0.19896440516915426
HOUSTNE,AAd,0.349938638306977
HOUSTMW,A,-0.016973047851856826
HOUSTS,AAd,0.11804365945185136
HOUSTW,AAd,0.17420424005384194
PERMIT,AAd,0.10540097220148492
PERMITNE,A,0.009258432984394993
PERMITMW,A,0.011955093877687673
PERMITS,AAd,0.13820057149478504
PERMITW,A,-0.03140112317969179
ACOGNO,AA,0.14516692309673462
AMDMNOx,AAd,0.2418800065303197
ANDENOx,AAd,0.28941512062293884
AMDMUOx,AA,0.8359007868859611
BUSINVx,AAd,0.6914057037538711
ISRATIOx,AAd,0.010522796857462158
M1SL,AAd,-0.5348566788920721
M2SL,AA,0.9305486648786927
M2REAL,AAd,-0.1776813985147876
BOGMBASE,AA,0.3578275174065698
TOTRESNS,A,0.16656073177312947
NONBORRES,A,0.052558058003762675
BUSLOANS,AAd,0.8870243434786944
REALLN,AA,0.1889627186258671
NONREVSL,AA,0.6901300312108213
CONSPI,AAd,-0.12713200904089894
S&P 500,AAd,0.12748900523050766
S&P: indust,AAd,0.13331419738010597
S&P div yield,AAd,-0.21528690326711364
S&P PE ratio,AAd,-0.18314608093822327
FEDFUNDS,AAd,0.7238214536361215
CP3Mx,AAd,0.5508589200645881
TB3MS,AAd,0.4270862998753223
TB6MS,AAd,0.4678684324899778
GS1,AAd,0.3991459909255498
GS5,AAd,-0.06149839677541924
GS10,AAd,-0.10431918254954087
AAA,AAd,-0.1036451427150693
BAA,AAd,-0.3111998166272172
COMPAPFFx,A,0.012041599216464527
TB3SMFFM,A,0.003555993177966843
TB6SMFFM,A,5.741748760224041e-06
T1YFFM,A,1.0398205268380423e-05
T5YFFM,A,-1.3603316469046334e-05
T10YFFM,A,-3.377277243465926e-05
AAAFFM,A,-4.495942938409492e-05
BAAFFM,AAd,0.35967899923840196
TWEXAFEGSMTHx,AAd,-0.14653662306136006
EXSZUSx,AAd,-0.21047935187293243
EXJPUSx,AAd,-0.18303855005569303
EXUSUKx,,-0.07883923200460452
EXCAUSx,,-0.015731148990738797
WPSFD49207,,0.1666114552264364
WPSFD49502,,0.1238722564035537
WPSID61,,0.008162009337429832
WPSID62,,-0.04981140355676472
OILPRICEx,,-0.12787504069648747
PPICMM,,-0.006560752571368678
CPIAUCSL,,0.3529877581081261
CPIAPPSL,,-0.09190246289575987
CPITRNSL,,-0.4090227732548064
CPIMEDSL,,0.9395602584843794
CUSR0000SAC,,-0.1267325078201904
CUSR0000SAD,,0.08670507971736718
CUSR0000SAS,,0.8953965201685
CPIULFSL,,0.26207252935107395
CUSR0000SA0L2,,0.0891800620718759
CUSR0000SA0L5,,0.2870879311217527
PCEPI,,0.5420811679517723
DDURRG3M086SBEA,,0.7299839080541797
DNDGRG3M086SBEA,,-0.08285477853031198
DSERRG3M086SBEA,,0.9467737025552011
CES0600000008,,0.8645035868777128
CES2000000008,,0.7128670388856868
CES3000000008,,0.7341465510601529
UMCSENTx,,0.01797317425369882
DTCOLNVHFNM,,-0.4461628701259839
DTCTHFNM,,0.47390581520776487
INVEST,,0.14414028654757116
VIXCLSx,,0.09923563918255374
